01,4798,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,42.30713,98.9209,
01,366,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,8.617,27.5845,
01,2669,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],25.48182,102.70089,40.38535,34.50117,
01,3015,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,101.61123,40.60649,121.21527,
01,8179,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],23.65544,0.0,40.3374,91.01533,
01,1277,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,52.007,98.92116,
01,5860,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.42097,23.5175,
01,2237,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.10917,120.26774,
01,5099,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.19243,5.96201,
01,6656,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.43895,98.92086,
01,7146,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],23.43988,0.0,40.49745,117.03759,
01,9109,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,104.17077,40.35878,5.33467,
01,6275,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.88787,117.43585,
01,3557,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.59127,121.4936,
01,2560,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.48611,120.251,
01,6665,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.21111,98.9209,
01,3579,6,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-08'],0.0,101.61449,40.41247,121.39454,
01,7105,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.16427,6.38777,
01,8717,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],25.17144,106.01617,9.2345,98.92097,
01,5075,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.56667,12.34799,
01,8662,7,['2008-02-02', '2008-02-03', '2008-02-04', '2008-02-05', '2008-02-06', '2008-02-07', '2008-02-08'],0.0,0.0,40.42724,118.72023,
